adr_address	adr_number	zip_zipcode
186	1306	12228460
187	1313	12230220
188	1320	12230260
189	1327	12230140
190	1334	12228640
191	1341	12230240
192	1348	12227250
193	1355	12209560
194	1362	12228710
195	1369	12230230
196	1376	12230290
197	1383	12230200
198	1390	12228650
199	1397	12227310
200	1404	12209560
201	1411	12245030
202	1418	12227260
203	1425	12230110
204	1432	12245903
205	1439	12209660
206	1446	12228760
207	1453	12245390
208	1460	12230050
209	1467	12209920
210	1474	12228650
211	1481	12210050
212	1488	12209660
213	1495	12245360
214	1502	12245300
215	1509	12230060
216	1516	12227430
217	1523	12228461
218	1530	12228462
219	1537	12228614
220	1544	12227290
221	1551	12228520
222	1558	12227470
223	1565	12228530
224	1572	12209560
225	1579	12227360
226	1586	12245000
227	1593	12245903
228	1600	12227320
229	1607	12228750
230	1614	12228530
231	1621	12210030
232	1628	12227430
233	1635	12230100
234	1642	12228670
235	1649	12230300
236	1656	12209904
237	1663	12210070
238	1670	12227510
239	1677	12245120
240	1684	12227190
241	1691	12228614
242	1698	12209640
243	1705	12245100
244	1712	12245051
245	1719	12245430
246	1726	12230200
247	1733	12227210
248	1740	12227210
249	1747	12230130
250	1754	12245460
251	1761	12245051
252	1768	12245340
253	1775	12230280
254	1782	12210110
255	1789	12228540
256	1796	12228460
257	1803	12227290
258	1810	12228720
259	1817	12228590
260	1824	12210140
261	1831	12209560
262	1838	12245020
263	1845	12230080
264	1852	12245330
265	1859	12228700
266	1866	12230330
267	1873	12210130
268	1880	12209540
269	1887	12230250
270	1894	12245450
271	1901	12230290
272	1908	12227390
273	1915	12227380
274	1922	12230010
275	1929	12210070
276	1936	12227490
277	1943	12227320
278	1950	12210020
279	1957	12230330
280	1964	12230330
281	1971	12209525
282	1978	12209580
283	1985	12245011
284	1992	12209904
285	1999	12209660
286	2006	12210100
287	2013	12245390
288	2020	12209540
289	2027	12230140
290	2034	12210000
291	2041	12210140
292	2048	12230100
293	2055	12210031
294	2062	12245290
295	2069	12230170
296	2076	12228611
297	2083	12245310
298	2090	12230330
299	2097	12230300
300	2104	12210100
301	2111	12230120
302	2118	12230080
303	2125	12209660
304	2132	12245330
305	2139	12245021
306	2146	12230230
307	2153	12228750
308	2160	12245120
309	2167	12210040
310	2174	12228616
311	2181	12245021
312	2188	12228612
313	2195	12230150
314	2202	12228630
315	2209	12227340
316	2216	12245001
317	2223	12245360
318	2230	12245380
319	2237	12210040
320	2244	12230150
321	2251	12228612
322	2258	12227480
323	2265	12210100
324	2272	12227340
325	2279	12209525
326	2286	12245110
327	2293	12245460
328	2300	12230200
329	2307	12245280
330	2314	12230300
331	2321	12210031
332	2328	12228610
333	2335	12227180
334	2342	12228650
335	2349	12228614
336	2356	12230050
337	2363	12228510
338	2370	12227270
339	2377	12245061
340	2384	12245001
341	2391	12228610
342	2398	12209590
343	2405	12245061
344	2412	12245105
345	2419	12245430
346	2426	12245370
347	2433	12228750
348	2440	12245200
349	2447	12230011
350	2454	12230170
351	2461	12245200
352	2468	12228670
353	2475	12245110
354	2482	12230320
355	2489	12230330
356	2496	12227510
357	2503	12209550
358	2510	12245390
359	2517	12227410
360	2524	12228630
361	2531	12228460
362	2538	12228614
363	2545	12230140
364	2552	12245370
365	2559	12245370
366	2566	12210110
367	2573	12228600
368	2580	12245340
369	2587	12227520
370	2594	12228720
371	2601	12228530
372	2608	12228570
373	2615	12230330
374	2622	12227270
375	2629	12228462
376	2636	12227470
377	2643	12209580
378	2650	12245112
379	2657	12209570
380	2664	12230280
381	2671	12227001
382	2678	12227270
383	2685	12210010
384	2692	12227410
385	2699	12230341
386	2706	12228510
387	2713	12227480
388	2720	12245020
389	2727	12209650
390	2734	12210050
391	2741	12227490
392	2748	12230100
393	2755	12228500
394	2762	12245000
395	2769	12245010
396	2776	12227480
397	2783	12228700
398	2790	12230320
399	2797	12245022
400	2804	12230150
401	2811	12227180
402	2818	12230140
403	2825	12228550
404	2832	12245130
405	2839	12228462
406	2846	12230011
407	2853	12227200
408	2860	12227310
409	2867	12228462
410	2874	12245460
411	2881	12230170
412	2888	12230230
413	2895	12209621
414	2902	12227270
415	2909	12245022
416	2916	12245460
417	2923	12209630
418	2930	12228462
419	2937	12228612
420	2944	12227460
421	2951	12228460
422	2958	12228490
423	2965	12245001
424	2972	12230160
425	2979	12230200
426	2986	12230001
427	2993	12230260
428	3000	12228614
429	3007	12245011
430	3014	12245230
431	3021	12230050
432	3028	12227220
433	3035	12227470
434	3042	12227180
435	3049	12228670
436	3056	12228510
437	3063	12227280
438	3070	12230320
439	3077	12228613
440	3084	12230341
441	3091	12210031
442	3098	12228740
443	3105	12228616
444	3112	12227370
445	3119	12230001
446	3126	12227340
447	3133	12228550
448	3140	12245380
449	3147	12230000
450	3154	12227360
451	3161	12245420
452	3168	12210120
453	3175	12210120
454	3182	12230040
455	3189	12209630
456	3196	12209525
457	3203	12245380
458	3210	12228650
459	3217	12230341
460	3224	12227200
461	3231	12230340
462	3238	12227320
463	3245	12230020
464	3252	12228690
465	3259	12228670
466	3266	12209660
467	3273	12245430
468	3280	12209550
469	3287	12210080
470	3294	12227460
471	3301	12228540
472	3308	12228740
473	3315	12210090
474	3322	12230050
475	3329	12209650
476	3336	12209904
477	3343	12245280
478	3350	12227440
479	3357	12230020
480	3364	12245411
481	3371	12209520
482	3378	12227450
483	3385	12228616
484	3392	12227390
485	3399	12230260
486	3406	12228615
487	3413	12245100
488	3420	12227450
489	3427	12210070
490	3434	12227210
491	3441	12230000
492	3448	12227460
493	3455	12230020
494	3462	12227350
495	3469	12230040
496	3476	12228611
497	3483	12228530
498	3490	12245411
499	3497	12210080
500	3504	12227240
501	3511	12227190
502	3518	12209640
503	3525	12209540
504	3532	12245011
505	3539	12230000
506	3546	12210030
507	3553	12245061
508	3560	12227500
509	3567	12209540
510	3574	12209600
511	3581	12245400
512	3588	12245450
513	3595	12245450
514	3602	12227250
515	3609	12228510
516	3616	12245021
517	3623	12228650
518	3630	12230110
519	3637	12230180
520	3644	12227450
521	3651	12209621
522	3658	12228613
523	3665	12209550
524	3672	12230190
525	3679	12245190
526	3686	12209520
527	3693	12245200
528	3700	12228480
529	3707	12230300
530	3714	12230002
531	3721	12227180
532	3728	12230230
533	3735	12228510
534	3742	12230220
535	3749	12230230
536	3756	12245380
537	3763	12230320
538	3770	12230170
539	3777	12245021
540	3784	12228740
541	3791	12228510
542	3798	12210131
543	3805	12227460
544	3812	12230140
545	3819	12228462
546	3826	12227370
547	3833	12227500
548	3840	12227400
549	3847	12209560
550	3854	12209525
551	3861	12210140
552	3868	12228613
553	3875	12228760
554	3882	12230330
555	3889	12230020
556	3896	12228750
557	3903	12230030
558	3910	12245020
559	3917	12209570
560	3924	12227200
561	3931	12245112
562	3938	12245030
563	3945	12245070
564	3952	12230001
565	3959	12209920
566	3966	12209660
567	3973	12228616
568	3980	12245051
569	3987	12245450
570	3994	12245051
571	4001	12227190
572	4008	12230001
573	4015	12230250
574	4022	12245370
575	4029	12227310
576	4036	12227340
577	4043	12228540
578	4050	12227290
579	4057	12230075
580	4064	12228550
581	4071	12228670
582	4078	12228570
583	4085	12245200
584	4092	12209570
585	4099	12245110
586	4106	12227490
587	4113	12245370
588	4120	12230070
589	4127	12227530
590	4134	12228550
591	4141	12245080
592	4148	12228520
593	4155	12230040
594	4162	12245310
595	4169	12228480
596	4176	12230020
597	4183	12227190
598	4190	12209530
599	4197	12228630
600	4204	12210070
601	4211	12228660
602	4218	12210130
603	4225	12230020
604	4232	12245411
605	4239	12228750
606	4246	12227230
607	4253	12227450
608	4260	12230190
609	4267	12245130
610	4274	12245130
611	4281	12228600
612	4288	12230001
613	4295	12245450
614	4302	12228580
615	4309	12209610
616	4316	12245001
617	4323	12228650
618	4330	12245110
619	4337	12245340
620	4344	12209904
621	4351	12210020
622	4358	12230010
623	4365	12245061
624	4372	12230030
625	4379	12227250
626	4386	12209520
627	4393	12245440
628	4400	12228730
629	4407	12230011
630	4414	12209630
631	4421	12230270
632	4428	12228730
633	4435	12245380
634	4442	12210070
635	4449	12210070
636	4456	12210000
637	4463	12230120
638	4470	12227510
639	4477	12245051
640	4484	12245450
641	4491	12245100
642	4498	12209660
643	4505	12245100
644	4512	12230210
645	4519	12228660
646	4526	12245430
647	4533	12228640
648	4540	12245022
649	4547	12227180
650	4554	12245020
651	4561	12228580
652	4568	12210010
653	4575	12210130
654	4582	12230060
655	4589	12230120
656	4596	12230100
657	4603	12245340
658	4610	12230075
659	4617	12210140
660	4624	12228480
661	4631	12228460
662	4638	12210140
663	4645	12245310
664	4652	12227010
665	4659	12230020
666	4666	12230060
667	4673	12230140
668	4680	12230190
669	4687	12209650
670	4694	12245000
671	4701	12209570
672	4708	12228490
673	4715	12230330
674	4722	12228560
675	4729	12230310
676	4736	12228620
677	4743	12245070
678	4750	12227350
679	4757	12230180
680	4764	12227360
681	4771	12245112
682	4778	12227210
683	4785	12245460
684	4792	12230300
685	4799	12228740
686	4806	12228510
687	4813	12245130
688	4820	12209610
689	4827	12228750
690	4834	12228614
691	4841	12228650
692	4848	12227260
693	4855	12209550
694	4862	12228670
695	4869	12227380
696	4876	12209535
697	4883	12209580
698	4890	12245310
699	4897	12210130
700	4904	12209630
701	4911	12245430
702	4918	12245100
703	4925	12245390
704	4932	12230060
705	4939	12228740
706	4946	12209535
707	4953	12230260
708	4960	12209532
709	4967	12228612
710	4974	12210120
711	4981	12230020
712	4988	12245190
713	4995	12245410
714	5002	12210060
715	5009	12245030
716	5016	12230150
717	5023	12227200
718	5030	12227290
719	5037	12245460
720	5044	12210140
721	5051	12228640
722	5058	12227310
723	5065	12245011
724	5072	12228740
725	5079	12228460
726	5086	12210110
727	5093	12228460
728	5100	12228680
729	5107	12227520
730	5114	12230100
731	5121	12230000
732	5128	12210140
733	5135	12230280
734	5142	12228540
735	5149	12227210
736	5156	12227330
737	5163	12230210
738	5170	12210020
739	5177	12209520
740	5184	12228630
741	5191	12228460
742	5198	12210030
743	5205	12245112
744	5212	12227190
745	5219	12245370
746	5226	12230341
747	5233	12227460
748	5240	12230180
749	5247	12209570
750	5254	12230340
751	5261	12230040
752	5268	12228660
753	5275	12210130
754	5282	12210050
755	5289	12230070
756	5296	12230280
757	5303	12245430
758	5310	12210140
759	5317	12230011
760	5324	12227480
761	5331	12227270
762	5338	12210031
763	5345	12210120
764	5352	12230341
765	5359	12209560
766	5366	12230120
767	5373	12227490
768	5380	12227500
769	5387	12230180
770	5394	12228613
771	5401	12228700
772	5408	12227900
773	5415	12227250
774	5422	12245020
775	5429	12210070
776	5436	12245030
777	5443	12245190
778	5450	12227480
779	5457	12228670
780	5464	12209560
781	5471	12230341
782	5478	12209535
783	5485	12228540
784	5492	12230230
785	5499	12230130
786	5506	12230020
787	5513	12209621
788	5520	12230310
789	5527	12209904
790	5534	12230160
791	5541	12245011
792	5548	12210020
793	5555	12228730
794	5562	12228600
795	5569	12228580
796	5576	12230220
797	5583	12227350
798	5590	12227400
799	5597	12210090
800	5604	12245300
801	5611	12209610
802	5618	12209540
803	5625	12210080
804	5632	12228550
805	5639	12230270
806	5646	12245420
807	5653	12209621
808	5660	12210050
809	5667	12228610
810	5674	12227330
811	5681	12245340
812	5688	12230160
813	5695	12210050
814	5702	12227530
815	5709	12227340
816	5716	12245310
817	5723	12209610
818	5730	12245011
819	5737	12227320
820	5744	12245460
821	5751	12230330
822	5758	12209570
823	5765	12245280
824	5772	12245390
825	5779	12210020
826	5786	12228720
827	5793	12245903
828	5800	12245400
829	5807	12227300
830	5814	12245120
831	5821	12228462
832	5828	12245010
833	5835	12210110
834	5842	12227250
835	5849	12227410
836	5856	12209650
837	5863	12245000
838	5870	12209580
839	5877	12227340
840	5884	12209520
841	5891	12209532
842	5898	12209621
843	5905	12228510
844	5912	12227260
845	5919	12230020
846	5926	12245031
847	5933	12227470
848	5940	12227900
849	5947	12210040
850	5954	12227470
851	5961	12230000
852	5968	12245061
853	5975	12230210
854	5982	12228614
855	5989	12228480
856	5996	12230341
857	6003	12209570
858	6010	12210050
859	6017	12228630
860	6024	12227210
861	6031	12245021
862	6038	12228461
863	6045	12245280
864	6052	12245390
865	6059	12228580
866	6066	12230030
867	6073	12245360
868	6080	12210031
869	6087	12230110
870	6094	12230340
871	6101	12227900
872	6108	12210050
873	6115	12245030
874	6122	12230030
875	6129	12228690
876	6136	12230250
877	6143	12228750
878	6150	12228630
879	6157	12230160
880	6164	12245001
881	6171	12230000
882	6178	12210000
883	6185	12227001
884	6192	12228590
885	6199	12227360
886	6206	12210100
887	6213	12228690
888	6220	12209520
889	6227	12210031
890	6234	12227200
891	6241	12230210
892	6248	12245112
893	6255	12245230
894	6262	12230150
895	6269	12209540
896	6276	12245001
897	6283	12227350
898	6290	12210050
899	6297	12230230
900	6304	12230160
901	6311	12245340
902	6318	12228560
903	6325	12228490
904	6332	12230111
905	6339	12245410
906	6346	12227350
907	6353	12227270
908	6360	12245031
909	6367	12245300
910	6374	12228613
911	6381	12230160
912	6388	12210060
913	6395	12245120
914	6402	12245200
915	6409	12230250
916	6416	12210090
917	6423	12230050
918	6430	12210050
919	6437	12210090
920	6444	12227900
921	6451	12228611
922	6458	12209630
923	6465	12245190
924	6472	12230002
925	6479	12230060
926	6486	12227230
927	6493	12245051
928	6500	12228550
929	6507	12227310
930	6514	12228760
931	6521	12230030
932	6528	12228560
933	6535	12210040
934	6542	12228612
935	6549	12230220
936	6556	12228614
937	6563	12228600
938	6570	12230120
939	6577	12210080
940	6584	12230050
941	6591	12245460
942	6598	12245080
943	6605	12227190
944	6612	12227001
945	6619	12227340
946	6626	12245280
947	6633	12227400
948	6640	12245022
949	6647	12230310
950	6654	12245420
951	6661	12209525
952	6668	12210020
953	6675	12227460
954	6682	12245110
955	6689	12210070
956	6696	12210131
957	6703	12230290
958	6710	12230075
959	6717	12228615
960	6724	12228700
961	6731	12227250
962	6738	12228700
963	6745	12230070
964	6752	12228620
965	6759	12245010
966	6766	12227340
967	6773	12245001
968	6780	12245031
969	6787	12227180
970	6794	12210050
971	6801	12245000
972	6808	12230280
973	6815	12245390
974	6822	12228720
975	6829	12228730
976	6836	12228460
977	6843	12209580
978	6850	12227520
979	6857	12230111
980	6864	12245030
981	6871	12230150
982	6878	12230280
983	6885	12227430
984	6892	12245001
985	6899	12230310
986	6906	12230111
987	6913	12227450
988	6920	12227510
989	6927	12228470
990	6934	12210031
991	6941	12227450
992	6948	12230011
993	6955	12230130
994	6962	12245310
995	6969	12245022
996	6976	12210030
997	6983	12209920
998	6990	12245440
999	6997	12245340
1000	7004	12209532
